012095H.DBIC.BHZ.s_fil 0.85002 86.962471 130.450302 6.670160e+00 -4.856560e+00 1.142000e+00 1.261070e+02 51 8.71 70.61 9.72 51.49 9.34 61.07 17.2 36.2 0.445249
012095H.PLCA.BHZ.s_fil -0.0821 68.8629684 137.796005 -4.073277e+01 -7.055083e+01 1.142000e+00 1.261070e+02 51 -47.76 148.51 -70.21 -162.36 -61.06 164.49 49.6 61.2 0.300743
012102D.BAHI.BHZ.s_fil 0.428 75.1912689 131.39827 1.157426e+01 3.739338e+01 -1.538400e+01 1.674830e+02 115.5 -7.08 111.56 -1.83 91.56 -4.52 101.52 20.5 39.4 0.232859
012102D.DELE.BHZ.s_fil 0.3511 76.9564056 131.797333 8.439315e+00 3.632585e+01 -1.538400e+01 1.674830e+02 115.5 -10.63 110.88 -5.82 89.96 -8.36 100.36 21.7 40.7 0.243169
012102D.KRIS.BHZ.s_fil 0.32 63.4654388 140.689209 3.517800e+01 2.550300e+01 -1.538400e+01 1.674830e+02 115.5 16.45 127.73 35.84 88.89 27.48 110.01 73.9 74.4 0.517407
012102D.MORC.BHZ.s_fil 0.1251 56.5453873 137.900391 4.977660e+01 1.754280e+01 -1.538400e+01 1.674830e+02 115.5 30.49 141.17 55.12 110.33 43.81 128.95 51.6 62.4 0.484637
012102D.TERC.BHZ.s_fil 0.42 77.6208572 130.677917 7.144612e+00 3.717472e+01 -1.538400e+01 1.674830e+02 115.5 -11.70 110.30 -7.50 91.06 -9.74 100.62 18.2 37.2 0.250793
012300C.NM14.BHZ.s_fil 0.8498 68.0190964 131.28241 3.290685e+01 -1.047594e+02 -7.967000e+00 1.206130e+02 46.8 24.64 166.72 33.25 -172.33 29.35 176.75 19.7 38.7 0.263271
012300C.PLAL.BHZ.s_fil -0.3399 67.9057465 142.378113 3.498240e+01 -8.807550e+01 -7.967000e+00 1.206130e+02 46.8 29.04 154.56 49.84 -154.40 42.28 175.96 89.1 81.6 0.508646
012301D.WRAB.BHZ.s_fil -0.5567 71.6997528 136.407074 -1.993360e+01 1.343600e+02 1.401700e+01 -9.090700e+01 64.4 -2.74 -141.97 -12.06 -170.49 -7.63 -156.07 42.2 56.5 0.721569
012404A.QSPA.BHZ.s_fil 0.5759 18.9743805 142.006592 -8.992890e+01 1.444382e+02 5.212200e+01 -3.017900e+01 10 2.58 -30.17 -40.52 -30.16 -18.97 -30.17 87.6 80.9 0.998866
012502B.BDAR.BHZ.s_fil 0.4871 73.8834991 141.522781 9.672092e+00 3.952539e+01 -2.086500e+01 -1.787630e+02 576.4 -21.65 128.78 -9.50 85.33 -16.70 106.37 88.8 81.4 0.870361
012502B.DZEE.BHZ.s_fil 0.3239 74.375412 141.67627 8.780270e+00 3.899590e+01 -2.086500e+01 -1.787630e+02 576.4 -22.89 128.71 -10.93 84.45 -18.17 105.84 90.4 82.1 1.63581
012502B.FURI.BHZ.s_fil 0.5051 74.3291245 142.008575 8.895200e+00 3.867980e+01 -2.086500e+01 -1.787630e+02 576.4 -22.95 129.02 -10.72 83.85 -18.14 105.66 94.2 83.7 0.879494
012502B.GNI.BHZ.s_fil 0.091 57.6309547 138.361725 4.014800e+01 4.474100e+01 -2.086500e+01 -1.787630e+02 576.4 12.60 142.15 33.23 110.20 23.73 127.44 60.5 67.5 0.972757
012502B.MHV.BHZ.s_fil 0.0751 50.7303467 136.275879 5.495950e+01 3.776640e+01 -2.086500e+01 -1.787630e+02 576.4 25.05 155.69 49.88 131.59 38.07 145.70 46.1 59 0.527447
012502B.RAYN.BHZ.s_fil 0.2911 66.2305374 139.045914 2.352250e+01 4.550320e+01 -2.086500e+01 -1.787630e+02 576.4 -4.21 132.13 10.63 97.77 3.36 115.08 65.8 70.4 0.43161
